Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,20,20
Dragon,120,600,400,600,400,12,6,3,.75,75,120,50,50
Skullclops,15,20,20,20,20,3,1,1,1,8,15,40,40
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Goblin,4,30,120,30,120,5,1.2,.2,.9,25,3,150,90
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,40
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60
Dwarf,12,75,40,75,40,5,1.2,.9,1.9,8,16,220,60














































